Make,Model,Total_Accidents,Total_Fatalities,Total_People_Aboard,Fatality_Rate
Cessna,152,1104,175.0,1562.0,0.11203585147247119
Cessna,172,739,145.0,1388.0,0.10446685878962536
Cessna,172N,648,225.0,1253.0,0.17956903431763768
CESSNA,172,499,167.0,864.0,0.19328703703703703
Piper,PA-28-140,472,162.0,925.0,0.17513513513513512
BOEING,737,435,1348.0,22888.0,0.05889549108703251
Cessna,172M,430,115.0,861.0,0.13356562137049943
Cessna,172P,377,142.0,736.0,0.19293478260869565
Cessna,150,369,44.0,525.0,0.0838095238095238
Piper,PA-18,334,44.0,506.0,0.08695652173913043
Cessna,180,320,44.0,625.0,0.0704
Cessna,150M,306,54.0,461.0,0.11713665943600868
Piper,PA-28-180,305,134.0,640.0,0.209375
Piper,PA-28-161,300,89.0,584.0,0.1523972602739726
Piper,PA-18-150,287,59.0,422.0,0.13981042654028436
Cessna,182,285,77.0,601.0,0.1281198003327787
Piper,PA-28-181,283,164.0,632.0,0.25949367088607594
Bell,206B,253,105.0,618.0,0.16990291262135923
Cessna,150L,231,64.0,357.0,0.1792717086834734
Cessna,140,204,19.0,297.0,0.06397306397306397
Beech,A36,200,156.0,499.0,0.312625250501002
CESSNA,152,198,41.0,280.0,0.14642857142857144
CESSNA,182,195,108.0,386.0,0.27979274611398963
Cessna,170B,188,25.0,342.0,0.07309941520467836
Piper,PA-32-300,186,118.0,521.0,0.22648752399232247
Cessna,172S,186,32.0,279.0,0.11469534050179211
CESSNA,172S,185,46.0,300.0,0.15333333333333332
PIPER,PA28,183,95.0,329.0,0.2887537993920973
Piper,PA-24-250,179,93.0,371.0,0.25067385444743934
Cessna,182P,177,78.0,347.0,0.22478386167146974
Piper,PA-28R-200,176,129.0,395.0,0.3265822784810127
Piper,PA-12,176,34.0,284.0,0.11971830985915492
Piper,PA-38-112,173,50.0,278.0,0.17985611510791366
Grumman,G-164A,173,11.0,176.0,0.0625
Piper,PA-23-250,171,170.0,430.0,0.3953488372093023
CESSNA,172N,167,63.0,310.0,0.2032258064516129
Cessna,185,164,32.0,456.0,0.07017543859649122
Cessna,A188B,155,23.0,159.0,0.14465408805031446
Piper,PA-31-350,151,111.0,518.0,0.21428571428571427
Mooney,M20J,145,71.0,295.0,0.24067796610169492
Cessna,182Q,144,68.0,294.0,0.23129251700680273
ROBINSON,R44,143,162.0,316.0,0.5126582278481012
CIRRUS DESIGN CORP,SR22,143,83.0,280.0,0.29642857142857143
Cessna,177,140,45.0,290.0,0.15517241379310345
ROBINSON HELICOPTER COMPANY,R44 II,139,33.0,286.0,0.11538461538461539
PIPER,PA-18-150,134,11.0,191.0,0.05759162303664921
CESSNA,172M,131,42.0,353.0,0.11898016997167139
Piper,PA-22-150,130,21.0,242.0,0.08677685950413223
Cessna,172RG,128,56.0,293.0,0.19112627986348124
Cessna,A185F,128,44.0,283.0,0.15547703180212014
CESSNA,180,127,12.0,230.0,0.05217391304347826
BEECH,A36,126,91.0,275.0,0.33090909090909093
Cessna,150G,126,29.0,187.0,0.15508021390374332
Cessna,150F,126,22.0,177.0,0.12429378531073447
Robinson,R44,124,86.0,278.0,0.30935251798561153
